ModelID,Scope,FixedEffects,Predictors,Formula,AUC,LogLoss
mod_1667,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ CONFLICTS_lag5 + TECHNOLOGICAL_lag3 + C(Year) + C(Country),0.8535338333725431,0.4180063088561982
mod_1668,global,C(Year) + C(Country),"['CONFLICTS_lag5', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ CONFLICTS_lag5 + TECHNOLOGICAL_lag4 + C(Year) + C(Country),0.8546017215372055,0.416374993400905
mod_1673,global,C(Year) + C(Country),"['ECOLOGICAL_lag1', 'ECOLOGICAL_lag5']",Infectious_disease_binary ~ ECOLOGICAL_lag1 + ECOLOGICAL_lag5 + C(Year) + C(Country),0.8518818357528035,0.41962358824244256
mod_1675,global,C(Year) + C(Country),"['ECOLOGICAL_lag1', 'ECONOMIC_lag2']",Infectious_disease_binary ~ ECOLOGICAL_lag1 + ECONOMIC_lag2 + C(Year) + C(Country),0.8553880491292785,0.39654175711039924
mod_1676,global,C(Year) + C(Country),"['ECOLOGICAL_lag1', 'ECONOMIC_lag3']",Infectious_disease_binary ~ ECOLOGICAL_lag1 + ECONOMIC_lag3 + C(Year) + C(Country),0.8591929216714863,0.39652935586281957
mod_1679,global,C(Year) + C(Country),"['ECOLOGICAL_lag1', 'GEOPHYSICAL_lag1']",Infectious_disease_binary ~ ECOLOGICAL_lag1 + GEOPHYSICAL_lag1 + C(Year) + C(Country),0.8546446169817666,0.39603023616350497
mod_1681,global,C(Year) + C(Country),"['ECOLOGICAL_lag1', 'GEOPHYSICAL_lag3']",Infectious_disease_binary ~ ECOLOGICAL_lag1 + GEOPHYSICAL_lag3 + C(Year) + C(Country),0.8594679269328801,0.3964430792047476
mod_1682,global,C(Year) + C(Country),"['ECOLOGICAL_lag1', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ ECOLOGICAL_lag1 + GEOPHYSICAL_lag4 + C(Year) + C(Country),0.8528352294583529,0.412127767894674
mod_1684,global,C(Year) + C(Country),"['ECOLOGICAL_lag1', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ ECOLOGICAL_lag1 + TECHNOLOGICAL_lag1 + C(Year) + C(Country),0.8546141548839273,0.3961519361934869
mod_1685,global,C(Year) + C(Country),"['ECOLOGICAL_lag1', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ ECOLOGICAL_lag1 + TECHNOLOGICAL_lag2 + C(Year) + C(Country),0.8553189972780206,0.39668642918106006
mod_1686,global,C(Year) + C(Country),"['ECOLOGICAL_lag1', 'TECHNOLOGICAL_lag3']",Infectious_disease_binary ~ ECOLOGICAL_lag1 + TECHNOLOGICAL_lag3 + C(Year) + C(Country),0.8595992181958485,0.3965559373677815
mod_1687,global,C(Year) + C(Country),"['ECOLOGICAL_lag1', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ ECOLOGICAL_lag1 + TECHNOLOGICAL_lag4 + C(Year) + C(Country),0.8544850953507612,0.4104028603165056
mod_1688,global,C(Year) + C(Country),"['ECOLOGICAL_lag1', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ ECOLOGICAL_lag1 + TECHNOLOGICAL_lag5 + C(Year) + C(Country),0.8539766725250596,0.416965304111581
mod_1690,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'ECOLOGICAL_lag4']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + ECOLOGICAL_lag4 + C(Year) + C(Country),0.8525361879719455,0.412323764339105
mod_1691,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'ECOLOGICAL_lag5']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + ECOLOGICAL_lag5 + C(Year) + C(Country),0.8518850071269426,0.41958381888845603
mod_1692,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'ECONOMIC_lag1']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + ECONOMIC_lag1 + C(Year) + C(Country),0.8554023049953445,0.39668984361752574
mod_1693,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'ECONOMIC_lag2']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + ECONOMIC_lag2 + C(Year) + C(Country),0.8553653288427355,0.3965529350734606
mod_1696,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'ECONOMIC_lag5']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + ECONOMIC_lag5 + C(Year) + C(Country),0.8519977350622512,0.4196348564935278
mod_1697,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'GEOPHYSICAL_lag1']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + GEOPHYSICAL_lag1 + C(Year) + C(Country),0.8556647020301246,0.3962675391776003
mod_1700,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'GEOPHYSICAL_lag4']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + GEOPHYSICAL_lag4 + C(Year) + C(Country),0.8527511816749485,0.4121634940509966
mod_1701,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'GEOPHYSICAL_lag5']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + GEOPHYSICAL_lag5 + C(Year) + C(Country),0.8518858720471624,0.4196634723198069
mod_1702,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'TECHNOLOGICAL_lag1']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + TECHNOLOGICAL_lag1 + C(Year) + C(Country),0.8554544280056489,0.39650052622497856
mod_1703,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'TECHNOLOGICAL_lag2']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + TECHNOLOGICAL_lag2 + C(Year) + C(Country),0.8553167697989478,0.3966963440837583
mod_1705,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'TECHNOLOGICAL_lag4']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + TECHNOLOGICAL_lag4 + C(Year) + C(Country),0.8544529516843808,0.41042003817857475
mod_1706,global,C(Year) + C(Country),"['ECOLOGICAL_lag2', 'TECHNOLOGICAL_lag5']",Infectious_disease_binary ~ ECOLOGICAL_lag2 + TECHNOLOGICAL_lag5 + C(Year) + C(Country),0.8540383701674025,0.4168818182171477
mod_1709,global,C(Year) + C(Country),"['ECOLOGICAL_lag3', 'ECONOMIC_lag1']",Infectious_disease_binary ~ ECOLOGICAL_lag3 + ECONOMIC_lag1 + C(Year) + C(Country),0.8591261799162853,0.3968442383817799
mod_1710,global,C(Year) + C(Country),"['ECOLOGICAL_lag3', 'ECONOMIC_lag2']",Infectious_disease_binary ~ ECOLOGICAL_lag3 + ECONOMIC_lag2 + C(Year) + C(Country),0.8592331128744359,0.39644913361257067
mod_1711,global,C(Year) + C(Country),"['ECOLOGICAL_lag3', 'ECONOMIC_lag3']",Infectious_disease_binary ~ ECOLOGICAL_lag3 + ECONOMIC_lag3 + C(Year) + C(Country),0.8590068242226778,0.3966118992060401
mod_1715,global,C(Year) + C(Country),"['ECOLOGICAL_lag3', 'GEOPHYSICAL_lag2']",Infectious_disease_binary ~ ECOLOGICAL_lag3 + GEOPHYSICAL_lag2 + C(Year) + C(Country),0.8589271725659233,0.3969974288591662
mod_1716,global,C(Year) + C(Country),"['ECOLOGICAL_lag3', 'GEOPHYSICAL_lag3']",Infectious_disease_binary ~ ECOLOGICAL_lag3 + GEOPHYSICAL_lag3 + C(Year) + C(Country),0.8592577147623018,0.39651759644248075
